image_id,label,label_idx,mean_greenness_index,chlorosis_index,lesion_area_ratio,glcm_contrast,split
LEAF_BROW_10001.jpg,Brown_Spot,1,0.4422,0.2659,0.2367,51.06,val
LEAF_BACT_10002.jpg,Bacterial_Blight,0,0.4335,0.3485,0.2743,33.38,train
LEAF_BROW_10003.jpg,Brown_Spot,1,0.5772,0.1738,0.1943,40.55,train
LEAF_LEAF_10004.jpg,Leaf_Blast,2,0.3996,0.3418,0.5804,54.76,train
LEAF_LEAF_10005.jpg,Leaf_Blast,2,0.402,0.3663,0.3762,47.55,train
LEAF_BACT_10006.jpg,Bacterial_Blight,0,0.4373,0.3797,0.3016,39.95,train
LEAF_BROW_10007.jpg,Brown_Spot,1,0.7145,0.3097,0.2331,50.29,test
LEAF_BACT_10008.jpg,Bacterial_Blight,0,0.3993,0.285,0.3819,35.31,train
LEAF_BROW_10009.jpg,Brown_Spot,1,0.4409,0.2567,0.2549,50.33,val
LEAF_HEAL_10010.jpg,Healthy_Leaf,3,0.7696,0.0275,0.0,9.48,train
LEAF_BROW_10011.jpg,Brown_Spot,1,0.597,0.309,0.1661,50.01,train
LEAF_BACT_10012.jpg,Bacterial_Blight,0,0.5037,0.4384,0.3836,45.48,train
LEAF_LEAF_10013.jpg,Leaf_Blast,2,0.4771,0.2721,0.3445,42.07,train
LEAF_TUNG_10014.jpg,Tungro_Virus,4,0.3825,0.5372,0.3005,24.84,train
LEAF_BROW_10015.jpg,Brown_Spot,1,0.5721,0.2751,0.2895,46.54,train
LEAF_TUNG_10016.jpg,Tungro_Virus,4,0.3389,0.6897,0.4676,26.76,train
LEAF_BROW_10017.jpg,Brown_Spot,1,0.5671,0.3137,0.2025,29.07,train
LEAF_BACT_10018.jpg,Bacterial_Blight,0,0.5076,0.4072,0.3067,39.07,val
LEAF_BROW_10019.jpg,Brown_Spot,1,0.3784,0.2491,0.1196,38.56,train
LEAF_LEAF_10020.jpg,Leaf_Blast,2,0.3706,0.2539,0.3504,55.34,train
LEAF_BACT_10021.jpg,Bacterial_Blight,0,0.4593,0.4004,0.3194,41.84,val
LEAF_BROW_10022.jpg,Brown_Spot,1,0.4395,0.2099,0.303,53.43,train
LEAF_BACT_10023.jpg,Bacterial_Blight,0,0.5914,0.3504,0.3939,46.53,train
